'received from' | In regular: 69 | In spam: 31 | logProbRegular: -4.719146 | logProbSpam: -5.426228
'of he' | In regular: 34 | In spam: 39 | logProbRegular: -5.426892 | logProbSpam: -5.196654
'iere address' | In regular: 73 | In spam: 0 | logProbRegular: -4.662793 | logProbSpam: -10.804935
'joural of' | In regular: 67 | In spam: 1 | logProbRegular: -4.748560 | logProbSpam: -8.860215
'of neurosciece' | In regular: 68 | In spam: 0 | logProbRegular: -4.733744 | logProbSpam: -10.804935
'europea joural' | In regular: 67 | In spam: 0 | logProbRegular: -4.748560 | logProbSpam: -10.804935
'neurosciece volume' | In regular: 67 | In spam: 0 | logProbRegular: -4.748560 | logProbSpam: -10.804935
'wih esmtp' | In regular: 35 | In spam: 14 | logProbRegular: -5.397904 | logProbSpam: -6.221158
'esmtp id' | In regular: 35 | In spam: 14 | logProbRegular: -5.397904 | logProbSpam: -6.221158
'posdocoral posiio' | In regular: 47 | In spam: 0 | logProbRegular: -5.103105 | logProbSpam: -10.804935
'\tfor mbulacuairugl' | In regular: 25 | In spam: 16 | logProbRegular: -5.734376 | logProbSpam: -6.087627
'xaimailscaeriformaio please' | In regular: 28 | In spam: 13 | logProbRegular: -5.621048 | logProbSpam: -6.295266
'please coac' | In regular: 28 | In spam: 13 | logProbRegular: -5.621048 | logProbSpam: -6.295266
'coac helpdeskairugl' | In regular: 28 | In spam: 13 | logProbRegular: -5.621048 | logProbSpam: -6.295266
'helpdeskairugl for' | In regular: 28 | In spam: 13 | logProbRegular: -5.621048 | logProbSpam: -6.295266
'for more' | In regular: 28 | In spam: 13 | logProbRegular: -5.621048 | logProbSpam: -6.295266
'xaimailscaer foud' | In regular: 28 | In spam: 13 | logProbRegular: -5.621048 | logProbSpam: -6.295266
'be clea\n' | In regular: 28 | In spam: 13 | logProbRegular: -5.621048 | logProbSpam: -6.295266
'more iformaio\n' | In regular: 27 | In spam: 13 | logProbRegular: -5.657415 | logProbSpam: -6.295266
'saus ro\n' | In regular: 25 | In spam: 9 | logProbRegular: -5.734376 | logProbSpam: -6.662991
'xsaus u\n' | In regular: 25 | In spam: 9 | logProbRegular: -5.734376 | logProbSpam: -6.662991
'spam spamassassi' | In regular: 19 | In spam: 13 | logProbRegular: -6.008813 | logProbSpam: -6.295266
'uiversiy of' | In regular: 30 | In spam: 1 | logProbRegular: -5.552055 | logProbSpam: -8.860215
'for he' | In regular: 19 | In spam: 12 | logProbRegular: -6.008813 | logProbSpam: -6.375309
'ad he' | In regular: 9 | In spam: 16 | logProbRegular: -6.756028 | logProbSpam: -6.087627
'wih smtp' | In regular: 15 | In spam: 9 | logProbRegular: -6.245202 | logProbSpam: -6.662991
'to mbulacuairugl\n' | In regular: 11 | In spam: 13 | logProbRegular: -6.555357 | logProbSpam: -6.295266
'lis prefereces\n' | In regular: 0 | In spam: 23 | logProbRegular: -10.804935 | logProbSpam: -5.724721
'smtp id' | In regular: 12 | In spam: 9 | logProbRegular: -6.468346 | logProbSpam: -6.662991
'coetype eplai\n' | In regular: 16 | In spam: 5 | logProbRegular: -6.180663 | logProbSpam: -7.250777
'by he' | In regular: 14 | In spam: 7 | logProbRegular: -6.314195 | logProbSpam: -6.914305
'is he' | In regular: 9 | In spam: 11 | logProbRegular: -6.756028 | logProbSpam: -6.462320
'ha he' | In regular: 6 | In spam: 14 | logProbRegular: -7.161493 | logProbSpam: -6.221158
'mbulacuairugl thu' | In regular: 12 | In spam: 7 | logProbRegular: -6.468346 | logProbSpam: -6.914305
'wih he' | In regular: 5 | In spam: 13 | logProbRegular: -7.343814 | logProbSpam: -6.295266
'phd sude' | In regular: 18 | In spam: 0 | logProbRegular: -6.062880 | logProbSpam: -10.804935
'of his' | In regular: 2 | In spam: 15 | logProbRegular: -8.260105 | logProbSpam: -6.152165
'you will' | In regular: 5 | In spam: 11 | logProbRegular: -7.343814 | logProbSpam: -6.462320
'if you' | In regular: 10 | In spam: 6 | logProbRegular: -6.650667 | logProbSpam: -7.068456
'updae lis' | In regular: 0 | In spam: 16 | logProbRegular: -10.804935 | logProbSpam: -6.087627
'his his' | In regular: 0 | In spam: 16 | logProbRegular: -10.804935 | logProbSpam: -6.087627
'you have' | In regular: 8 | In spam: 7 | logProbRegular: -6.873811 | logProbSpam: -6.914305
'subjec spam' | In regular: 1 | In spam: 13 | logProbRegular: -8.953252 | logProbSpam: -6.295266
'xaimailscaerspamcheck spam' | In regular: 1 | In spam: 13 | logProbRegular: -8.953252 | logProbSpam: -6.295266
'his is' | In regular: 1 | In spam: 13 | logProbRegular: -8.953252 | logProbSpam: -6.295266
'he he' | In regular: 1 | In spam: 13 | logProbRegular: -8.953252 | logProbSpam: -6.295266
'dae thu' | In regular: 10 | In spam: 3 | logProbRegular: -6.650667 | logProbSpam: -7.761603
'img src' | In regular: 12 | In spam: 1 | logProbRegular: -6.468346 | logProbSpam: -8.860215
'from he' | In regular: 6 | In spam: 7 | logProbRegular: -7.161493 | logProbSpam: -6.914305
'you ca' | In regular: 7 | In spam: 6 | logProbRegular: -7.007342 | logProbSpam: -7.068456
'deparme of' | In regular: 12 | In spam: 1 | logProbRegular: -6.468346 | logProbSpam: -8.860215
'will be' | In regular: 10 | In spam: 2 | logProbRegular: -6.650667 | logProbSpam: -8.167068
